C_CUSTKEY	C_NAME	C_ADDRESS	C_NATIONKEY	C_PHONE	C_ACCTBAL	C_MKTSEGMENT	C_COMMENT
21	Customer#000000021	XYmVpr9yAHDEn	8	18-902-614-8344	1428.25	MACHINERY 	platelets sleep carefully unusual instructions
22	Customer#000000022	QI6p41,FNs5k7RZoCCVPUTkUdYpB	3	13-806-545-9701	591.98	MACHINERY 	brave deposits among the deposits sleep slyly sl
23	Customer#000000023	OdY W13N7Be3OC5MpgfmcYss0Wn6TKT	3	13-312-472-8245	3332.02	HOUSEHOLD 	unusual, regular packages wake. slyly unusual courts wake 
24	Customer#000000024	HXAFgIAyjxtdqwimt13Y3OZO 4xeLe7U8PqG	13	23-127-851-8031	9255.67	MACHINERY 	even, final requests wake furiously bl
25	Customer#000000025	Hp8GyFQgGHFYSilH5tBfe	12	22-603-468-3533	7133.7	FURNITURE 	regular, ironic requests integrate furi
26	Customer#000000026	8ljrc5ZeMl7UciP	22	32-363-455-4837	5182.05	AUTOMOBILE	bold, final ideas sleep carefully never express foxes. 
27	Customer#000000027	IS8GIyxpBrLpMT0u7	3	13-137-193-2709	5679.84	BUILDING  	ironic, pending courts against the special, regular theodolites nag around the quick 
28	Customer#000000028	iVyg0daQ,Tha8x2WPWA9m2529m	8	18-774-241-1462	1007.18	FURNITURE 	even pains sleep quickly along the slyly even requests. slyly silent packages wake closely. fluffil
29	Customer#000000029	sJ5adtfyAkCK63df2,vF25zyQMVYE34uh	0	10-773-203-7342	7618.27	FURNITURE 	fluffily regular instructions nag fluffily during th
30	Customer#000000030	nJDsELGAavU63Jl0c5NKsKfL8rIJQQkQnYL2QJY	1	11-764-165-5076	9321.01	BUILDING  	regular deposits hinder slyly ironic foxes
31	Customer#000000031	LUACbO0viaAv6eXOAebryDB xjVst	23	33-197-837-7094	5236.89	HOUSEHOLD 	carefully even theodolites doubt final, final deposits. regular, ironic tithes sleep 
32	Customer#000000032	jD2xZzi UmId,DCtNBLXKj9q0Tlp2iQ6ZcO3J	15	25-430-914-2194	3471.53	BUILDING  	carefully regular excuses detect furiously along the f
33	Customer#000000033	qFSlMuLucBmx9xnn5ib2csWUweg D	17	27-375-391-1280	-78.56	AUTOMOBILE	pending theodolites sleep after the furiously express deposits? requests according to the pending platelets s
34	Customer#000000034	Q6G9wZ6dnczmtOx509xgE,M2KV	15	25-344-968-5422	8589.7	HOUSEHOLD 	permanently ironic instructions above the asymptotes
35	Customer#000000035	TEjWGE4nBzJL2	17	27-566-888-7431	1228.24	HOUSEHOLD 	even, unusual platelets about the slyly even platelets nag quickly furiously express accounts. carefully 
36	Customer#000000036	3TvCzjuPzpJ0,DdJ8kW5U	21	31-704-669-5769	4987.27	BUILDING  	ideas hinder blithely final deposits. fu
37	Customer#000000037	7EV4Pwh,3SboctTWt	8	18-385-235-7162	-917.75	FURNITURE 	ironic, special instructions detect quickly above the even theodolites. quickly unusual requests maintain
38	Customer#000000038	a5Ee5e9568R8RLP 2ap7	12	22-306-880-7212	6345.11	HOUSEHOLD 	enticing deposits are slyly beyond the final, special requests-- slyly ironic accounts hagg
39	Customer#000000039	nnbRg,Pvy33dfkorYE FdeZ60	2	12-387-467-6509	6264.31	AUTOMOBILE	theodolites sleep ironic foxes. fluffily ironic requests detect carefu
40	Customer#000000040	gOnGWAyhSV1ofv	3	13-652-915-8939	1335.3	BUILDING  	slyly regular requests haggle furiously regular theodol
41	Customer#000000041	IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF	10	20-917-711-4011	270.95	HOUSEHOLD 	carefully ironic instructions w
42	Customer#000000042	ziSrvyyBke	5	15-416-330-4175	8727.01	BUILDING  	even sentiments wake. slyly final packages nag against the carefully unusual theodolites. slyly pending pinto beans
43	Customer#000000043	ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd	19	29-316-665-2897	9904.28	MACHINERY 	idly regular sentiments affix. slyly pending foxes around the deposits haggle according to th
44	Customer#000000044	Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi	16	26-190-260-5375	7315.94	AUTOMOBILE	regular packages after the furiously ironic tithes play blithely about the instru
45	Customer#000000045	4v3OcpFgoOmMG,CbnF,4mdC	9	19-715-298-9917	9983.38	AUTOMOBILE	regular packages among the slyly regular attainments are asymptotes. special asymptotes haggle blithely
46	Customer#000000046	eaTXWWm10L9	6	16-357-681-2007	5744.59	AUTOMOBILE	carefully ironic theodolites haggle furiously carefully even instructions. bold depo
47	Customer#000000047	b0UgocSqEW5 gdVbhNT	2	12-427-271-9466	274.58	BUILDING  	blithely final deposits about the furiously special packages play even idea
48	Customer#000000048	0UU iPhBupFvemNB	0	10-508-348-5882	3792.5	BUILDING  	slyly ironic ideas wake fluffily. carefully even dugouts prom
49	Customer#000000049	cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl	10	20-908-631-4424	4573.94	FURNITURE 	thin ideas are foxes. furiously regular t
50	Customer#000000050	9SzDYlkzxByyJ1QeTI o	6	16-658-112-3221	4266.13	MACHINERY 	express, bold frets boost among the express ideas. final, express requests boost platelets. 
51	Customer#000000051	uR,wEaiTvo4	12	22-344-885-4251	855.87	FURNITURE 	silent dependencies about the deposits haggle slyly above the blithely unusual account
52	Customer#000000052	7 QOqGqqSy9jfV51BC71jcHJSD0	11	21-186-284-5998	5630.28	HOUSEHOLD 	patterns cajole slyly among the blithely regul
53	Customer#000000053	HnaxHzTfFTZs8MuCpJyTbZ47Cm4wFOOgib	15	25-168-852-5363	4113.64	HOUSEHOLD 	ironic requests against the carefully ironic dolphins nag fluffily against
54	Customer#000000054	,k4vf 5vECGWFy,hosTE,	4	14-776-370-4745	868.9	AUTOMOBILE	final, unusual requests alongside of the foxes cajole against the carefully unusual 
55	Customer#000000055	zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom	10	20-180-440-8525	4572.11	MACHINERY 	carefully regular requests against the fluffily special accounts cajole slyly slyly
56	Customer#000000056	BJYZYJQk4yD5B	10	20-895-685-6920	6530.86	FURNITURE 	regular accounts use furiously. instructions snooze. blithely d
57	Customer#000000057	97XYbsuOPRXPWU	21	31-835-306-1650	4151.93	AUTOMOBILE	accounts are. quickly regular pinto beans subla
58	Customer#000000058	g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T	13	23-244-493-2508	6478.46	HOUSEHOLD 	packages wake slyly about the blithely ironic decoys. ironic ideas sleep. slyly ironic packages 
59	Customer#000000059	zLOCP0wh92OtBihgspOGl4	1	11-355-584-3112	3458.6	MACHINERY 	even requests dazzle quickly along the fi
60	Customer#000000060	FyodhjwMChsZmUz7Jz0H	12	22-480-575-5866	2741.87	MACHINERY 	pending packages are blithely fluffily pending platelets. unusual instructions instead of the bold,
61	Customer#000000061	9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE	17	27-626-559-8599	1536.24	FURNITURE 	blithely even deposits boost. accounts sleep furiously bold deposits. unusu
62	Customer#000000062	upJK2Dnw13,	7	17-361-978-7059	595.61	MACHINERY 	deposits cajole after the slyly unusual instructions. quickly fi
63	Customer#000000063	IXRSpVWWZraKII	21	31-952-552-9584	9331.13	AUTOMOBILE	blithely even sentiments nag; blithely
64	Customer#000000064	MbCeGY20kaKK3oalJD,OT	3	13-558-731-7204	-646.64	BUILDING  	regular accounts mold blithely. quickly quick theodolites use never. theodolites boost quickl
65	Customer#000000065	RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X	23	33-733-623-5267	8795.16	AUTOMOBILE	slyly regular excuses about the
66	Customer#000000066	XbsEqXH1ETbJYYtA1A	22	32-213-373-5094	242.77	HOUSEHOLD 	final multipliers nag furiously. ironi
67	Customer#000000067	rfG0cOgtr5W8 xILkwp9fpCS8	9	19-403-114-4356	8166.59	MACHINERY 	furiously even packages are quic
68	Customer#000000068	o8AibcCRkXvQFh8hF,7o	12	22-918-832-2411	6853.37	HOUSEHOLD 	blithely stealthy deposits wake. regular, regular gifts above the even, permanent foxes are furiously betw
69	Customer#000000069	Ltx17nO9Wwhtdbe9QZVxNgP98V7xW97uvSH1prEw	9	19-225-978-5670	1709.28	HOUSEHOLD 	carefully regular deposits cajole above the quickly
70	Customer#000000070	mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ	22	32-828-107-2832	4867.52	FURNITURE 	slowly unusual realms detect express accounts. quickly pending accounts nod quickly ironic asymptotes. furiously ir
71	Customer#000000071	TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B	7	17-710-812-5403	-611.19	HOUSEHOLD 	furiously regular frets wake carefully. bravely pending account
72	Customer#000000072	putjlmskxE,zs,HqeIA9Wqu7dhgH5BVCwDwHHcf	2	12-759-144-9689	-362.86	FURNITURE 	carefully express deposits nod blithely. quickly 
73	Customer#000000073	8IhIxreu4Ug6tt5mog4	0	10-473-439-3214	4288.5	BUILDING  	even ideas boost. furiously final requests 
74	Customer#000000074	IkJHCA3ZThF7qL7VKcrU nRLl,kylf 	4	14-199-862-7209	2764.43	MACHINERY 	busy, blithe accounts cajole furiously al
75	Customer#000000075	Dh 6jZ,cwxWLKQfRKkiGrzv6pm	18	28-247-803-9025	6684.1	AUTOMOBILE	regular requests near the ironic, even accounts would sleep alongside of
76	Customer#000000076	m3sbCvjMOHyaOofH,e UkGPtqc4	0	10-349-718-3044	5745.33	FURNITURE 	blithely final theodolites across the furiously stealthy attainments haggle sl
77	Customer#000000077	4tAE5KdMFGD4byHtXF92vx	17	27-269-357-4674	1738.87	BUILDING  	slyly unusual dolphins cajole. asy
78	Customer#000000078	HBOta,ZNqpg3U2cSL0kbrftkPwzX	9	19-960-700-9191	7136.97	FURNITURE 	dependencies are slyly. excuses haggle furiously slyly even
79	Customer#000000079	n5hH2ftkVRwW8idtD,BmM2	15	25-147-850-4166	5121.28	MACHINERY 	carefully regular packages cajole along the sly
80	Customer#000000080	K,vtXp8qYB 	0	10-267-172-7101	7383.53	FURNITURE 	bold asymptotes about the express, express asymptotes wake flu
81	Customer#000000081	SH6lPA7JiiNC6dNTrR	20	30-165-277-3269	2023.71	BUILDING  	requests doze. slyly unusual deposits about the regular theodolites boost f
82	Customer#000000082	zhG3EZbap4c992Gj3bK,3Ne,Xn	18	28-159-442-5305	9468.34	AUTOMOBILE	furiously ironic deposits mold across the pending packag
83	Customer#000000083	HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf	22	32-817-154-4122	6463.51	BUILDING  	final accounts nag carefully?
84	Customer#000000084	lpXz6Fwr9945rnbtMc8PlueilS1WmASr CB	11	21-546-818-3802	5174.71	FURNITURE 	carefully ironic theodolites sublate
85	Customer#000000085	siRerlDwiolhYR 8FgksoezycLj	5	15-745-585-8219	3386.64	FURNITURE 	final deposits inside the slyly express deposits wake furiously even foxes.
86	Customer#000000086	US6EGGHXbTTXPL9SBsxQJsuvy	0	10-677-951-2353	3306.32	HOUSEHOLD 	fluffily fluffy foxes sleep slyly about the 
87	Customer#000000087	hgGhHVSWQl 6jZ6Ev	23	33-869-884-7053	6327.54	FURNITURE 	bold, unusual excuses haggle daringly according to the carefully express requests! theod
88	Customer#000000088	wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg	16	26-516-273-2566	8031.44	AUTOMOBILE	ironic packages ought to sleep packages. enticingly e
89	Customer#000000089	dtR, y9JQWUO6FoJExyp8whOU	14	24-394-451-5404	1530.76	FURNITURE 	bold accounts cajole furiously after the permanently even excuses. accounts cajole. fluffily even requ
90	Customer#000000090	QxCzH7VxxYUWwfL7	16	26-603-491-1238	7354.23	BUILDING  	blithely express packages boost quickly. enticingly ironic instruct
91	Customer#000000091	S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q	8	18-239-400-3677	4643.14	AUTOMOBILE	fluffily stealthy pinto beans cajole. fluffily unusual packages are furiously about the final theodolites. furi
92	Customer#000000092	obP PULk2LH LqNF,K9hcbNqnLAkJVsl5xqSrY,	2	12-446-416-8471	1182.91	MACHINERY 	carefully final packages wake
93	Customer#000000093	EHXBr2QGdh	7	17-359-388-5266	2182.52	MACHINERY 	fluffily even packages cajole furiously along the notornis. quickly even ideas hag
94	Customer#000000094	IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf	9	19-953-499-8833	5500.11	HOUSEHOLD 	furiously even requests nag slyly ironic accounts. blithely bold packages across the final, 
95	Customer#000000095	EU0xvmWvOmUUn5J,2z85DQyG7QCJ9Xq7	15	25-923-255-2929	5327.38	MACHINERY 	final foxes use carefully. accounts integrate furiously. carefully special requests 
96	Customer#000000096	vWLOrmXhRR	8	18-422-845-1202	6323.92	AUTOMOBILE	special ideas are fluffily fluffily even reque
97	Customer#000000097	OApyejbhJG,0Iw3j rd1M	17	27-588-919-5638	2164.48	AUTOMOBILE	carefully final packages are slyly aga
98	Customer#000000098	7yiheXNSpuEAwbswDW	12	22-885-845-6889	-551.37	BUILDING  	blithely final foxes along the unusual realms detect accounts. idle theodolites use pinto beans. ev
99	Customer#000000099	szsrOiPtCHVS97Lt	15	25-515-237-9232	4088.65	HOUSEHOLD 	deposits nod furiously alongside of the slyl
100	Customer#000000100	fptUABXcmkC5Wx	20	30-749-445-4907	9889.89	FURNITURE 	final requests solve slyly regular instructions. slyly regular excuses solve above the carefully express accounts
101	Customer#000000101	sMmL2rNeHDltovSm Y	2	12-514-298-3699	7470.96	MACHINERY 	even accounts are slyly quickly ironic theodolites. fluffily ironic accounts cajole bli
102	Customer#000000102	UAtflJ06 fn9zBfKjInkQZlWtqaA	19	29-324-978-8538	8462.17	BUILDING  	regular requests above the regular, ironic asym
103	Customer#000000103	8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a	9	19-216-107-2107	2757.45	BUILDING  	regular packages wake slyly above the regular ideas. regular excuses after the slyly regul
104	Customer#000000104	9mcCK L7rt0SwiYtrbO88DiZS7U d7M	10	20-966-284-8065	-588.38	FURNITURE 	slyly special dependencies sleep furiously furiously final instructions. ironic theodolites sleep caref
105	Customer#000000105	4iSJe4L SPjg7kJj98Yz3z0B	10	20-793-553-6417	9091.82	MACHINERY 	quietly express ideas wake regular courts. carefully express instructi
106	Customer#000000106	xGCOEAUjUNG	1	11-751-989-4627	3288.42	MACHINERY 	requests sleep carefully among the blithely ironic pac
107	Customer#000000107	Zwg64UZ,q7GRqo3zm7P1tZIRshBDz	15	25-336-529-9919	2514.15	AUTOMOBILE	packages haggle according to the dependencies. blithely even deposits shall nag? slyly regular courts nag bli
108	Customer#000000108	GPoeEvpKo1	5	15-908-619-7526	2259.38	BUILDING  	blithely silent excuses cajole furiously. slyly even foxes integrate quickly regular 
109	Customer#000000109	OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c	16	26-992-422-8153	-716.1	BUILDING  	quickly bold asymptotes haggle dolphins. fu
110	Customer#000000110	mymPfgphaYXNYtk	10	20-893-536-2069	7462.99	AUTOMOBILE	blithely pending packages haggle slyly. unusual, bold accoun
111	Customer#000000111	CBSbPyOWRorloj2TBvrK9qp9tHBs	22	32-582-283-7528	6505.26	MACHINERY 	quietly ironic pinto beans use about the quickly furious foxes. final accounts cajole quickly. furiously
112	Customer#000000112	RcfgG3bO7QeCnfjqJT1	19	29-233-262-8382	2953.35	FURNITURE 	quickly express foxes are blithely. special, bold instructions unwind afte
113	Customer#000000113	eaOl5UBXIvdY57rglaIzqvfPD,MYfK	12	22-302-930-4756	2912	BUILDING  	special, special dependencies sleep car
114	Customer#000000114	xAt 5f5AlFIU	14	24-805-212-7646	1027.46	FURNITURE 	furiously special excuses according to the somas boost furiously above the
115	Customer#000000115	0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc	8	18-971-699-1843	7508.92	HOUSEHOLD 	finally sly ideas sleep quickly final, regular excuses. blithely even instructions according to the quickly 
116	Customer#000000116	yCuVxIgsZ3,qyK2rloThy3u	16	26-632-309-5792	8403.99	BUILDING  	carefully final dependencies wake
117	Customer#000000117	uNhM,PzsRA3S,5Y Ge5Npuhi	24	34-403-631-3505	3950.83	FURNITURE 	ironic requests cajole furiously around the regular, special requests. dependencies grow quickly. slyly regu
118	Customer#000000118	OVnFuHygK9wx3xpg8	18	28-639-943-7051	3582.37	AUTOMOBILE	foxes are slyly. ironic deposits haggle. theodolites haggle furiously quickly silent pinto beans. pending, 
119	Customer#000000119	M1ETOIecuvH8DtM0Y0nryXfW	7	17-697-919-8406	3930.35	FURNITURE 	regular, ironic theodolites alongside of the instructions haggle carefully even requests. packages 
120	Customer#000000120	zBNna00AEInqyO1	12	22-291-534-1571	363.75	MACHINERY 	carefully regular deposits breach slyly carefully careful accounts. carefully unusu
121	Customer#000000121	tv nCR2YKupGN73mQudO	17	27-411-990-2959	6428.32	BUILDING  	excuses would affix. slyly unusual packages according to the permanent acc
122	Customer#000000122	yp5slqoNd26lAENZW3a67wSfXA6hTF	3	13-702-694-4520	7865.46	HOUSEHOLD 	furiously regular instructions cajole furiously ideas. quickly bold foxes wake careful
123	Customer#000000123	YsOnaaER8MkvK5cpf4VSlq	5	15-817-151-1168	5897.83	BUILDING  	slyly regular accounts use blithely. silent instructions haggle blithely silent packages. ironic ac
124	Customer#000000124	aTbyVAW5tCd,v09O	18	28-183-750-7809	1842.49	AUTOMOBILE	final requests along the special reque
125	Customer#000000125	,wSZXdVR xxIIfm9s8ITyLl3kgjT6UC07GY0Y	19	29-261-996-3120	-234.12	FURNITURE 	special instructions use above the carefully quick packages. closely fi
126	Customer#000000126	ha4EHmbx3kg DYCsP6DFeUOmavtQlHhcfaqr	22	32-755-914-7592	1001.39	HOUSEHOLD 	carefully special requests after the slyly regular packages sleep furiously slyly final epitaphs. 
127	Customer#000000127	Xyge4DX2rXKxXyye1Z47LeLVEYMLf4Bfcj	21	31-101-672-2951	9280.71	MACHINERY 	slyly pending deposits sleep according to the furiously regular packages. slyly ironic packages s
128	Customer#000000128	AmKUMlJf2NRHcKGmKjLS	4	14-280-874-8044	-986.96	HOUSEHOLD 	instructions nag ironic foxes. regular, pending platelets bo
129	Customer#000000129	q7m7rbMM0BpaCdmxloCgBDRCleXsXkdD8kf	7	17-415-148-7416	9127.27	HOUSEHOLD 	carefully regular deposits sleep furiously regular, final requests. grouches
130	Customer#000000130	RKPx2OfZy0Vn 8wGWZ7F2EAvmMORl1k8iH	9	19-190-993-9281	5073.58	HOUSEHOLD 	blithely express packages affix fu
131	Customer#000000131	jyN6lAjb1FtH10rMC,XzlWyCBrg75	11	21-840-210-3572	8595.53	HOUSEHOLD 	blithely final foxes along the carefully silent theodolite
132	Customer#000000132	QM5YabAsTLp9	4	14-692-150-9717	162.57	HOUSEHOLD 	silent packages haggle carefully even 
133	Customer#000000133	IMCuXdpIvdkYO92kgDGuyHgojcUs88p	17	27-408-997-8430	2314.67	AUTOMOBILE	regular sheaves cajole fluffily slyly final deposits. carefully ironic packa
134	Customer#000000134	sUiZ78QCkTQPICKpA9OBzkUp2FM	11	21-200-159-5932	4608.9	BUILDING  	blithely slow attainments are about the bold
135	Customer#000000135	oZK,oC0 fdEpqUML	19	29-399-293-6241	8732.91	FURNITURE 	busily final deposits run furiously-- quickly unusual requests across the slyly express multipliers wa
136	Customer#000000136	QoLsJ0v5C1IQbh,DS1	7	17-501-210-4726	-842.39	FURNITURE 	furiously express accounts cajole: blithely pendin
137	Customer#000000137	cdW91p92rlAEHgJafqYyxf1Q	16	26-777-409-5654	7838.3	HOUSEHOLD 	unusual, regular instructions sleep express packages. iro
138	Customer#000000138	5uyLAeY7HIGZqtu66Yn08f	5	15-394-860-4589	430.59	MACHINERY 	quickly final accounts are blithely fluffily final acco
139	Customer#000000139	3ElvBwudHKL02732YexGVFVt 	9	19-140-352-1403	7897.78	MACHINERY 	blithely special requests x-ray furiously. quickly final acco
140	Customer#000000140	XRqEPiKgcETII,iOLDZp5jA	4	14-273-885-6505	9963.15	MACHINERY 	furiously even deposits are furiously. silent platelets are alongsid
141	Customer#000000141	5IW,WROVnikc3l7DwiUDGQNGsLBGOL6Dc0	1	11-936-295-6204	6706.14	FURNITURE 	special theodolites engage quickly ironi
142	Customer#000000142	AnJ5lxtLjioClr2khl9pb8NLxG2,	9	19-407-425-2584	2209.81	AUTOMOBILE	blithely ironic packages kindle blithely. regular requests run. s
143	Customer#000000143	681r22uL452zqk 8By7I9o9enQfx0	16	26-314-406-7725	2186.5	MACHINERY 	slyly special accounts cajole furiously among the dinos. ironic requests among the blithely s
144	Customer#000000144	VxYZ3ebhgbltnetaGjNC8qCccjYU05 fePLOno8y	1	11-717-379-4478	6417.31	MACHINERY 	fluffily regular requests at the blithely even theodolites haggle around the requests. special frets x-
145	Customer#000000145	kQjHmt2kcec cy3hfMh969u	13	23-562-444-8454	9748.93	HOUSEHOLD 	always unusual ideas boost fluffily about the fluffily unusual deposits. fluffily unusual dolphins p
146	Customer#000000146	GdxkdXG9u7iyI1,,y5tq4ZyrcEy	3	13-835-723-3223	3328.68	FURNITURE 	ironic dependencies affix fluffily furiously ironic accounts. blithel
147	Customer#000000147	6VvIwbVdmcsMzuu,C84GtBWPaipGfi7DV	18	28-803-187-4335	8071.4	AUTOMOBILE	blithely ironic deposits nag according to the furiously ironic request
148	Customer#000000148	BhSPlEWGvIJyT9swk vCWE	11	21-562-498-6636	2135.6	HOUSEHOLD 	final pinto beans integrate bli
149	Customer#000000149	3byTHCp2mNLPigUrrq	19	29-797-439-6760	8959.65	AUTOMOBILE	fluffily unusual theodolites x-ray. even deposits should haggle through the slyly even warthogs
150	Customer#000000150	zeoGShTjCwGPplOWFkLURrh41O0AZ8dwNEEN4 	18	28-328-564-7630	3849.48	MACHINERY 	furiously ironic excuses wake. regular, bold packages use carefully across t
151	Customer#000000151	LlyEtNEXT6kkZ,kGP46H	19	29-433-197-6339	5187.02	HOUSEHOLD 	regular foxes boost special accounts. furiously re
152	Customer#000000152	PDrllSkScKLh4lr19gmUZnK	8	18-585-850-3926	1215.18	BUILDING  	carefully unusual accounts against the carefully final sentiments nag carefully
153	Customer#000000153	kDzx11sIjjWJm1	6	16-342-316-2815	5454.26	HOUSEHOLD 	carefully special packages after the blithely regu
154	Customer#000000154	2LAlU fDHkOqbXjHHDqw1mJQNC	19	29-522-835-6914	4695.12	FURNITURE 	carefully express warthogs according to the furiously regular dependencies s
155	Customer#000000155	l,sSphiStMgdrxpxi	0	10-566-282-8705	5902.85	AUTOMOBILE	regular platelets cajole furiously accounts. furiously pending packages sleep 
156	Customer#000000156	5OS0edX2Y6B1cf9wJNuOQWgrrZccXk9	9	19-723-913-3943	9302.95	AUTOMOBILE	furiously ironic courts poach furious
157	Customer#000000157	HGEouzCcFrNd nBAdsCRjsMxKOvYZdbwA7he5w9v	15	25-207-442-1556	9768.73	BUILDING  	accounts cajole. always regular requests cajole evenly according to the even, ironic
158	Customer#000000158	2HaYxi0J1620aoI1CdFyrW,rWOy	10	20-383-680-1329	6160.95	AUTOMOBILE	regular pinto beans haggle quickly above the slyly close deposits. bold pl
159	Customer#000000159	KotsdDO6EHnysVu922s6pjZpG,vlT	10	20-888-668-2668	2060.06	HOUSEHOLD 	final accounts across the blithely furious acc
160	Customer#000000160	5soVQ3dOCRBWBS	13	23-428-666-4806	4363.17	MACHINERY 	final, final deposits haggle along the blithe
161	Customer#000000161	2oRkx,NtjFUh	7	17-805-718-2449	3714.06	MACHINERY 	slyly even packages integrate slyly throu
162	Customer#000000162	JE398sXZt2QuKXfJd7poNpyQFLFtth	8	18-131-101-2267	6268.99	MACHINERY 	final, special ideas might affix fluffily;
163	Customer#000000163	OgrGcOnm4whd0f	21	31-863-349-4121	2948.61	FURNITURE 	final realms according to the bli
164	Customer#000000164	YDW51PBWLXLnbQlKC	4	14-565-638-9768	208.45	HOUSEHOLD 	notornis across the slyly regular deposits integrate over the furiously final requests! fi
165	Customer#000000165	8pc6kwBmwBdEnfVP53aqL9DM4LymC4	0	10-927-209-5601	3349.92	HOUSEHOLD 	express accounts along the ironic patterns nod beneath the special, even package
